x,y
-1.0,-1
-0.95,-1
-0.8999999999999999,-1
-0.8499999999999999,-1
-0.7999999999999998,-1
-0.7499999999999998,-1
-0.6999999999999997,-1
-0.6499999999999997,-1
-0.5999999999999996,-1
-0.5499999999999996,-1
-0.49999999999999956,-1
-0.4499999999999995,-1
-0.39999999999999947,-1
-0.3499999999999994,-1
-0.2999999999999994,-1
-0.24999999999999933,-1
-0.1999999999999993,-1
-0.14999999999999925,-1
-0.0999999999999992,-1
-0.049999999999999156,-1
8.881784197001252e-16,-1.0
0.05000000000000093,-1.001250260438369
0.10000000000000098,-1.0050041680558037
0.15000000000000102,-1.0112711095766707
0.20000000000000107,-1.0200667556190761
0.2500000000000011,-1.0314130998795734
0.30000000000000115,-1.045338514128861
0.3500000000000012,-1.0618778191559857
0.40000000000000124,-1.0810723718384554
0.4500000000000013,-1.1029701685559716
0.5000000000000013,-1.1276259652063816
0.5500000000000014,-1.1551014141239417
0.6000000000000014,-1.1854652182422687
0.6500000000000015,-1.2187933028874571
0.7000000000000015,-1.2551690056309441
0.7500000000000016,-1.2869854108708898
0.8000000000000016,-1.3050611379730035
0.8500000000000016,-1.313824901795851
0.9000000000000017,-1.3144385898315474
0.9500000000000017,-1.3069396507062068
1.0000000000000018,-1.290297796155657
1.0500000000000016,-1.263238176945534
1.1000000000000019,-1.2277741278689196
1.1500000000000021,-1.1936772867312722
1.200000000000002,-1.1625652605691847
1.2500000000000018,-1.134360253111721
1.300000000000002,-1.1089917371489044
1.3500000000000023,-1.086396278176959
1.4000000000000021,-1.0665173757790056
1.450000000000002,-1.0493053223445916
1.5000000000000022,-1.0347170787747724
1.5500000000000025,-1.0227161668619469
1.6000000000000023,-1.0132725780753373
1.6500000000000021,-1.0063626985240315
1.7000000000000024,-1.001969249909955
1.7500000000000027,-1.0000812463231283
1.8000000000000025,-1.0006939667711667
1.8500000000000023,-1.0038089433743422
1.9000000000000026,-1.0094339651966817
1.9500000000000028,-1.0175830977226838
2.0000000000000027,-1.0282767180283574
2.0500000000000025,-1.0415415657345244
2.1000000000000028,-1.0574108098698012
2.150000000000003,-1.075924131810446
2.200000000000003,-1.0971278245044689
2.2500000000000027,-1.1210749082281153
2.300000000000003,-1.1478252631641737
2.350000000000003,-1.1774457791336213
2.400000000000003,-1.2100105228550195
2.450000000000003,-1.2456009231498892
2.500000000000003,-1.2793735579054286
2.5500000000000034,-1.3005264210242187
2.600000000000003,-1.3119530952814917
2.650000000000003,-1.315087765512041
2.7000000000000033,-1.309961936986652
2.7500000000000036,-1.296442372365847
2.8000000000000034,-1.2728101654656139
2.850000000000003,-1.2369544571174262
2.9000000000000035,-1.2020833190013747
2.9500000000000037,-1.1702180153200645
3.0000000000000036,-1.1412788662163975
3.0500000000000034,-1.1151935087438842
3.100000000000003,-1.091896715921588
3.150000000000004,-1.071330233632695
3.2000000000000037,-1.0534426349588817
3.2500000000000036,-1.038189191586229
3.3000000000000043,-1.025531761961141
3.350000000000004,-1.0154386959165953
3.400000000000004,-1.0078847555302364
3.4500000000000037,-1.002851052016427
3.5000000000000036,-1.0003249984944436
3.5500000000000043,-1
3.600000000000004,-1
3.650000000000004,-1
3.7000000000000046,-1
3.7500000000000044,-1
3.8000000000000043,-1
3.850000000000004,-1
3.900000000000004,-1
3.9500000000000046,-1
4.000000000000004,-1
4.050000000000004,-1
4.100000000000005,-1
4.150000000000005,-1
4.200000000000005,-1
4.250000000000004,-1
4.300000000000004,-1
4.350000000000005,-1
4.400000000000005,-1
4.450000000000005,-1
4.500000000000005,-1
4.550000000000005,-1
4.600000000000005,-1
